trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.1, 'e': 0.14956861922263504}",25,16,17.03269511135163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.14587575685622736}",20,14,12.241381595828829,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.14227407158651353}",30,19,18.191537036803698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.13876131224295524}",30,18,9.779911779795304,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.1353352832366127}",25,18,5.8137910760616425,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.13199384318783022}",20,14,12.333433866535577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.12873490358780418}",20,11,14.89391148738785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.1255564274931972}",30,21,17.280760573371328,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.1224564282529819}",25,3,34.099762616420165,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.11943296826671962}",20,5,9.974199577164331,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.11648415777349697}",25,0,35.67488993807362,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.11360815367076371}",30,18,20.63417359777886,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.11080315836233387}",20,12,15.449096755474134,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.10806741863482926}",20,9,9.76009515874625,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.10539922456186433}",30,20,11.559883505618156,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.1027969084352864}",20,13,8.65864432249538,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.1002588437228037}",25,8,18.86769531008187,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.09778344405135005}",30,13,29.258973135823574,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.09536916221554961}",25,17,17.191817223764456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.09301448921066349}",25,16,18.442467244188002,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.09071795328941247}",30,14,30.848978958365624,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.08847811904208727}",20,0,22.434036418696746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.1, 'e': 0.0862935864993705}",25,3,32.495126146037045,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
